,Benchmark_number,Cipher,Connections_no_sidr,Seconds_no_sidr,Connections_user_second_no_sidr,Real_seconds_no_sidr,Connections_sidr,Seconds_sidr,Connections_user_second_sidr,Real_seconds_no_sidr
0,3,qteslaIIIspeed_bike2l3,22840,13.64,1674.49,31,23825,13.01,1831.28,31
1,3,qteslaIIIspeed_sike503,24220,13.03,1858.79,31,24221,13.19,1836.32,31
2,e,picnicl1fs_frodo976cshake,4696,14.18,331.17,31,4724,14.17,333.38,31
3,3,rsa_bike2l3,20557,8.73,2354.75,31,21063,8.95,2353.41,31
4,3,picnicl1fs_bike3l3,4597,14.22,323.28,31,4951,14.00,353.64,31
5,5,qteslaIIIsize_bike2l5,16403,9.91,1655.20,31,16679,10.07,1656.31,31
6,5,rsa_bike1l5,20451,8.79,2326.62,31,20886,8.86,2357.34,31
7,3,qteslaIIIsize_sike503,16441,10.00,1644.10,31,16131,10.18,1584.58,31
8,3,picnicl1fs_sidh503,4492,13.78,325.98,31,4250,13.99,303.79,31
9,1,picnicl1fs_bike1l1,4808,13.89,346.15,31,4733,14.15,334.49,31
10,5,qteslaI_bike3l5,26081,11.76,2217.77,31,26853,12.11,2217.42,31
11,1,rsa_bike1l1,20672,8.76,2359.82,31,21010,8.88,2365.99,31
12,1,rsa_sidh751,20605,8.28,2488.53,31,21303,8.99,2369.63,31
13,5,rsa_bike3l5,20865,8.72,2392.78,31,20936,8.78,2384.51,31
14,3,qteslaIIIsize_bike3l3,17105,9.51,1798.63,31,17483,9.56,1828.77,31
15,5,picnicl1fs_bike1l5,4665,13.92,335.13,31,4715,14.12,333.92,31
16,5,picnicl1fs_bike2l5,4721,13.76,343.10,31,4835,14.03,344.62,31
17,a,rsa_newhope1024cca,20795,8.84,2352.38,31,20890,8.84,2363.12,31
18,1,qteslaI_sidh751,26444,11.86,2229.68,31,27300,11.98,2278.80,31
19,1,rsa_sike751,20460,8.51,2404.23,31,20796,8.85,2349.83,31
20,1,rsa_bike2l1,20512,8.79,2333.56,31,20970,8.94,2345.64,31
21,1,qteslaIIIspeed_bike1l1,23699,13.27,1785.91,31,23373,13.59,1719.87,31
22,1,qteslaIIIspeed_bike2l1,22000,13.54,1624.82,31,22830,13.74,1661.57,31
23,5,qteslaIIIsize_bike3l5,16949,9.62,1761.85,31,17025,10.04,1695.72,31
24,3,picnicl1fs_bike1l3,4543,13.98,324.96,31,4671,13.94,335.08,31
25,a,qteslaIIIspeed_newhope1024cca,21748,13.15,1653.84,31,22136,13.50,1639.70,31
26,a,qteslaIIIspeed_newhope512cca,21508,13.38,1607.47,31,22228,13.56,1639.23,31
27,e,picnicl1fs_frodo640cshake,4419,13.47,328.06,31,4818,13.91,346.37,31
28,1,qteslaIIIspeed_sike751,23884,13.10,1823.21,31,24255,13.00,1865.77,31
29,e,rsa_frodo976cshake,20767,8.79,2362.57,31,20853,9.12,2286.51,31
30,a,qteslaI_newhope512cca,27214,11.97,2273.52,31,27364,11.91,2297.57,31
31,1,picnicl1fs_bike2l1,4639,13.78,336.65,31,4675,14.13,330.86,31
32,e,qteslaI_frodo640cshake,26633,11.43,2330.10,31,27004,11.89,2271.15,31
33,3,qteslaI_sike503,26785,11.70,2289.32,31,26950,11.91,2262.80,31
34,1,picnicl1fs_bike3l1,4538,13.70,331.24,31,4556,14.06,324.04,31
35,5,qteslaIIIspeed_bike2l5,22972,13.06,1758.96,31,22975,13.57,1693.07,31
36,1,qteslaI_bike2l1,26508,12.04,2201.66,31,27078,11.67,2320.31,31
37,3,picnicl1fs_sike503,4671,13.67,341.70,31,4832,14.29,338.14,31
38,s,picnicl1fs_frodo640aes,4430,13.70,323.36,31,4652,13.89,334.92,31
39,3,qteslaIIIsize_sidh503,16909,9.92,1704.54,31,17067,9.98,1710.12,31
40,1,qteslaI_bike1l1,26071,12.03,2167.17,31,27058,12.14,2228.83,31
41,s,qteslaIIIsize_frodo976aes,16384,9.80,1671.84,31,16850,10.26,1642.30,31
42,e,qteslaIIIsize_frodo640cshake,16757,9.69,1729.31,31,17362,9.52,1823.74,31
43,e,qteslaIIIsize_frodo976cshake,16547,9.80,1688.47,31,16802,9.95,1688.64,31
44,a,qteslaIIIsize_newhope512cca,16703,9.59,1741.71,31,17553,9.66,1817.08,31
45,1,qteslaIIIsize_bike3l1,16506,9.60,1719.38,31,16728,10.19,1641.61,31
46,1,qteslaIIIspeed_bike3l1,22753,13.30,1710.75,31,22930,13.64,1681.09,31
47,e,rsa_frodo640cshake,21105,8.42,2506.53,31,21143,8.94,2364.99,31
48,e,qteslaIIIspeed_frodo640cshake,22361,13.19,1695.30,31,23149,13.34,1735.31,31
49,3,qteslaIIIspeed_bike3l3,22256,13.32,1670.87,31,22747,13.62,1670.12,31
50,s,rsa_frodo640aes,20417,8.14,2508.23,31,21160,8.87,2385.57,31
51,a,qteslaIIIsize_newhope1024cca,17805,9.58,1858.56,31,17531,9.77,1794.37,31
52,3,qteslaI_bike1l3,27063,12.13,2231.08,31,27180,12.11,2244.43,31
53,a,rsa_newhope512cca,20869,8.88,2350.11,31,21068,9.11,2312.62,31
54,3,rsa_bike1l3,20550,8.70,2362.07,31,21071,8.85,2380.90,31
55,3,qteslaIIIspeed_sidh503,23473,13.23,1774.23,31,24217,13.08,1851.45,31
56,5,qteslaI_bike1l5,26722,11.92,2241.78,31,26755,12.07,2216.65,31
57,s,rsa_frodo976aes,21001,8.46,2482.39,31,21152,8.83,2395.47,31
58,1,qteslaIIIsize_bike1l1,16389,9.88,1658.81,31,17073,10.19,1675.47,31
59,a,picnicl1fs_newhope1024cca,4743,13.93,340.49,31,4779,14.11,338.70,31
60,s,qteslaIIIspeed_frodo976aes,22644,13.20,1715.45,31,23186,13.70,1692.41,31
61,3,rsa_sike503,20429,8.67,2356.29,31,20552,8.97,2291.19,31
62,5,rsa_bike2l5,20404,8.63,2364.31,31,20940,8.87,2360.77,31
63,3,qteslaIIIspeed_bike1l3,23819,13.22,1801.74,31,22955,13.64,1682.92,31
64,1,qteslaIIIsize_sike751,15953,9.98,1598.50,31,16654,10.01,1663.74,31
65,3,qteslaIIIsize_bike2l3,16011,10.12,1582.11,31,16685,10.26,1626.22,31
66,3,picnicl1fs_bike2l3,4497,13.74,327.29,31,4866,14.09,345.35,31
67,5,qteslaIIIspeed_bike1l5,23014,13.75,1673.75,31,23548,13.41,1756.00,31
68,s,picnicl1fs_frodo976aes,4371,13.72,318.59,31,4443,14.11,314.88,31
69,1,picnicl1fs_sidh751,4521,13.77,328.32,31,4515,13.94,323.89,31
70,1,qteslaI_bike3l1,25882,11.97,2162.24,31,26581,12.18,2182.35,31
71,1,qteslaIIIsize_bike2l1,16386,10.16,1612.80,31,15997,9.90,1615.86,31
72,3,qteslaIIIsize_bike1l3,17069,10.22,1670.16,31,16848,9.96,1691.57,31
73,1,qteslaIIIspeed_sidh751,24301,12.56,1934.79,31,23900,13.23,1806.50,31
74,3,rsa_sidh503,20650,8.39,2461.26,31,21209,8.61,2463.30,31
75,1,rsa_bike3l1,20402,8.71,2342.37,31,20957,8.86,2365.35,31
76,a,qteslaI_newhope1024cca,26740,12.01,2226.48,31,26896,12.03,2235.74,31
77,5,qteslaIIIspeed_bike3l5,22008,13.52,1627.81,31,22702,13.42,1691.65,31
78,5,qteslaI_bike2l5,26831,11.75,2283.49,31,26520,12.13,2186.31,31
79,1,qteslaI_sike751,26030,11.94,2180.07,31,26612,12.13,2193.90,31
80,s,qteslaI_frodo640aes,26540,11.59,2289.91,31,27141,12.13,2237.51,31
81,1,picnicl1fs_sike751,4553,13.61,334.53,31,4534,13.80,328.55,31
82,1,qteslaIIIsize_sidh751,16331,10.15,1608.97,31,17024,10.22,1665.75,31
83,s,qteslaIIIsize_frodo640aes,16925,9.75,1735.90,31,17145,10.23,1675.95,31
84,s,qteslaIIIspeed_frodo640aes,23963,12.76,1877.98,31,24023,13.23,1815.80,31
85,3,qteslaI_bike2l3,26615,11.84,2247.89,31,27127,11.94,2271.94,31
86,3,qteslaI_bike3l3,25677,11.66,2202.14,31,26791,11.80,2270.42,31
87,5,picnicl1fs_bike3l5,4700,14.19,331.22,31,4501,14.23,316.30,31
88,s,qteslaI_frodo976aes,26024,11.85,2196.12,31,26677,12.27,2174.16,31
89,3,rsa_bike3l3,20216,8.67,2331.72,31,20905,8.90,2348.88,31
90,e,qteslaI_frodo976cshake,27175,12.46,2180.98,31,27233,12.17,2237.72,31
91,5,qteslaIIIsize_bike1l5,16962,10.10,1679.41,31,16664,10.19,1635.33,31
92,3,qteslaI_sidh503,26651,11.97,2226.48,31,27149,12.27,2212.63,31
93,a,picnicl1fs_newhope512cca,4732,14.08,336.08,31,4907,14.22,345.08,31
94,e,qteslaIIIspeed_frodo976cshake,22245,13.45,1653.90,31,22889,13.85,1652.64,31
